SURNAME	RANK	FREQUENCY (COUNT)	PROPORTION PER 100,000 POPULATION
SMITH	1	2,442,977	828.2
JOHNSON	2	1,932,812	655.2
WILLIAMS	3	1,625,252	551.0
BROWN	4	1,437,026	487.2
JONES	5	1,425,470	483.2
GARCIA	6	1,166,120	395.3
MILLER	7	1,161,437	393.7
DAVIS	8	1,116,357	378.5
RODRIGUEZ	9	1,094,924	371.2
MARTINEZ	10	1,060,159	359.4
HERNANDEZ	11	1,043,281	353.7
LOPEZ	12	874,523	296.5
GONZALEZ	13	841,025	285.1
WILSON	14	801,882	271.8
ANDERSON	15	784,404	265.9
THOMAS	16	756,142	256.3
TAYLOR	17	751,209	254.7
MOORE	18	724,374	245.6
JACKSON	19	708,099	240.1
MARTIN	20	702,625	238.2
LEE	21	693,023	234.9
PEREZ	22	681,645	231.1
THOMPSON	23	664,644	225.3
WHITE	24	660,491	223.9
HARRIS	25	624,252	211.6
SANCHEZ	26	612,752	207.7
CLARK	27	562,679	190.8
