financial_advisor_id,customer_id,day,office_location_id,id
771,300,2022-03-16,1,0
773,301,2022-05-16,2,1
757,302,2022-03-01,1,2
759,303,2022-05-13,3,3
754,304,2022-03-19,2,4
778,305,2022-05-22,1,5
772,306,2022-04-18,0,6
769,307,2022-03-13,1,7
750,308,2022-03-22,2,8
759,309,2022-04-13,3,9
756,310,2022-04-09,2,10
756,311,2022-03-13,3,11
759,312,2022-04-19,2,12
762,313,2022-05-03,0,13
765,314,2022-04-05,3,14
751,315,2022-03-12,0,15
768,316,2022-03-23,0,16
770,317,2022-04-19,0,17
779,318,2022-04-09,1,18
760,319,2022-03-03,3,19
760,320,2022-05-21,2,20
769,321,2022-04-28,1,21
754,322,2022-03-27,2,22
755,323,2022-05-21,3,23
768,324,2022-04-30,2,24
779,325,2022-05-12,2,25
756,326,2022-03-05,2,26
764,327,2022-04-27,3,27
757,328,2022-04-20,3,28
764,329,2022-03-29,1,29
772,330,2022-04-03,3,30
762,331,2022-03-14,2,31
759,332,2022-03-07,1,32
777,333,2022-05-21,2,33
778,334,2022-05-29,1,34
755,335,2022-05-08,0,35
758,336,2022-04-15,2,36
776,337,2022-03-02,1,37
766,338,2022-03-06,0,38
760,339,2022-05-24,3,39
774,340,2022-03-22,2,40
752,341,2022-03-26,0,41
776,342,2022-05-10,2,42
775,343,2022-03-28,3,43
763,344,2022-03-21,3,44
766,345,2022-05-19,0,45
775,346,2022-05-18,3,46
777,347,2022-04-25,0,47
760,348,2022-04-06,3,48
765,349,2022-05-17,1,49
768,350,2022-04-29,0,50
753,351,2022-04-09,2,51
756,352,2022-05-12,1,52
778,353,2022-04-30,1,53
778,354,2022-05-15,0,54
768,355,2022-03-09,0,55
751,356,2022-05-02,1,56
760,357,2022-03-23,2,57
772,358,2022-03-08,1,58
760,359,2022-03-14,1,59
759,360,2022-03-01,1,60
757,361,2022-05-17,3,61
774,362,2022-05-30,3,62
752,363,2022-04-08,1,63
753,364,2022-04-10,0,64
778,365,2022-05-08,1,65
775,366,2022-05-26,2,66
762,367,2022-05-28,1,67
778,368,2022-04-22,1,68
771,369,2022-04-14,2,69
776,370,2022-04-26,1,70
750,371,2022-05-24,0,71
750,372,2022-03-02,1,72
757,373,2022-05-08,0,73
753,374,2022-04-13,1,74
751,375,2022-05-06,3,75
757,376,2022-04-03,0,76
772,377,2022-04-20,0,77
776,378,2022-03-10,0,78
755,379,2022-05-09,3,79
764,380,2022-03-15,0,80
775,381,2022-03-17,0,81
763,382,2022-05-23,2,82
779,383,2022-03-09,1,83
761,384,2022-03-26,3,84
770,385,2022-04-28,0,85
752,386,2022-05-02,1,86
751,387,2022-04-11,3,87
761,388,2022-03-08,0,88
770,389,2022-04-14,1,89
755,390,2022-04-27,2,90
765,391,2022-05-22,1,91
751,392,2022-05-27,1,92
764,393,2022-05-27,3,93
773,394,2022-04-14,1,94
762,395,2022-04-20,2,95
779,396,2022-04-29,1,96
765,397,2022-05-11,3,97
776,398,2022-03-08,0,98
762,399,2022-04-23,2,99
761,400,2022-03-26,3,100
772,401,2022-04-11,3,101
751,402,2022-05-20,1,102
771,403,2022-04-30,1,103
754,404,2022-04-19,2,104
752,405,2022-04-22,2,105
767,406,2022-04-12,3,106
752,407,2022-04-30,1,107
764,408,2022-03-23,3,108
775,409,2022-03-16,3,109
758,410,2022-04-10,2,110
751,411,2022-04-28,0,111
767,412,2022-03-23,1,112
753,413,2022-05-22,2,113
779,414,2022-03-10,3,114
767,415,2022-03-03,0,115
762,416,2022-05-11,1,116
752,417,2022-03-20,3,117
760,418,2022-04-18,2,118
777,419,2022-03-21,3,119
756,420,2022-04-10,2,120
762,421,2022-05-07,2,121
772,422,2022-03-30,1,122
770,423,2022-04-06,3,123
752,424,2022-04-04,2,124
771,425,2022-05-29,0,125
765,426,2022-03-09,1,126
755,427,2022-05-31,2,127
776,428,2022-05-13,0,128
754,429,2022-03-25,2,129
770,430,2022-05-15,1,130
779,431,2022-04-21,3,131
766,432,2022-04-15,3,132
773,433,2022-05-04,3,133
767,434,2022-04-23,3,134
751,435,2022-03-02,2,135
760,436,2022-04-07,1,136
774,437,2022-03-17,3,137
760,438,2022-03-01,2,138
778,439,2022-04-25,1,139
758,440,2022-04-10,0,140
754,441,2022-04-07,3,141
762,442,2022-05-15,0,142
751,443,2022-05-03,1,143
776,444,2022-03-17,0,144
765,445,2022-05-09,1,145
768,446,2022-03-02,0,146
751,447,2022-03-21,3,147
760,448,2022-04-26,0,148
771,449,2022-04-12,3,149
774,450,2022-03-29,3,150
763,451,2022-03-18,2,151
764,452,2022-03-25,0,152
761,453,2022-03-02,0,153
751,454,2022-05-11,2,154
750,455,2022-03-25,1,155
763,456,2022-03-03,0,156
766,457,2022-05-08,3,157
767,458,2022-04-28,1,158
750,459,2022-03-17,2,159
754,460,2022-03-08,0,160
764,461,2022-04-08,2,161
754,462,2022-03-18,3,162
762,463,2022-04-09,1,163
757,464,2022-04-18,3,164
764,465,2022-03-14,0,165
755,466,2022-03-01,1,166
773,467,2022-04-04,3,167
767,468,2022-05-18,3,168
760,469,2022-04-03,2,169
763,470,2022-03-08,1,170
752,471,2022-03-26,1,171
770,472,2022-05-19,3,172
752,473,2022-04-08,0,173
761,474,2022-05-26,1,174
765,475,2022-05-16,3,175
767,476,2022-04-27,1,176
763,477,2022-03-04,1,177
771,478,2022-04-15,2,178
757,479,2022-05-14,3,179
772,480,2022-03-12,3,180
752,481,2022-03-12,3,181
766,482,2022-05-30,3,182
776,483,2022-04-30,3,183
755,484,2022-04-23,0,184
760,485,2022-04-08,1,185
761,486,2022-03-04,1,186
750,487,2022-03-13,0,187
777,488,2022-05-26,3,188
754,489,2022-05-27,0,189
777,490,2022-05-15,2,190
752,491,2022-05-15,3,191
772,492,2022-05-07,3,192
759,493,2022-05-04,0,193
759,494,2022-05-15,2,194
760,495,2022-03-20,2,195
779,496,2022-05-01,0,196
773,497,2022-04-15,0,197
766,498,2022-05-30,1,198
754,499,2022-05-25,1,199
757,500,2022-04-27,1,200
771,501,2022-05-29,2,201
766,502,2022-04-12,1,202
751,503,2022-03-15,3,203
766,504,2022-03-20,2,204
767,505,2022-03-09,0,205
770,506,2022-04-01,0,206
761,507,2022-03-30,3,207
768,508,2022-05-28,1,208
754,509,2022-05-19,1,209
763,510,2022-04-24,2,210
759,511,2022-03-03,2,211
771,512,2022-05-20,2,212
761,513,2022-03-22,3,213
779,514,2022-03-08,2,214
756,515,2022-05-11,1,215
762,516,2022-05-07,1,216
772,517,2022-04-01,1,217
775,518,2022-04-26,2,218
764,519,2022-03-17,3,219
771,520,2022-03-23,1,220
774,521,2022-05-02,2,221
773,522,2022-05-19,1,222
754,523,2022-03-25,1,223
775,524,2022-05-30,1,224
768,525,2022-05-14,3,225
753,526,2022-03-23,3,226
756,527,2022-05-29,2,227
765,528,2022-05-18,3,228
758,529,2022-04-10,1,229
774,530,2022-03-15,3,230
766,531,2022-04-19,0,231
762,532,2022-05-28,3,232
761,533,2022-05-15,3,233
761,534,2022-05-01,0,234
775,535,2022-04-19,0,235
774,536,2022-03-16,0,236
769,537,2022-04-14,0,237
773,538,2022-04-23,0,238
751,539,2022-05-06,0,239
756,540,2022-04-17,0,240
774,541,2022-04-22,3,241
754,542,2022-05-13,0,242
755,543,2022-05-24,0,243
765,544,2022-05-09,2,244
772,545,2022-04-25,2,245
762,546,2022-05-15,0,246
779,547,2022-05-05,1,247
755,548,2022-04-12,2,248
764,549,2022-03-16,0,249
764,550,2022-04-21,2,250
767,551,2022-04-05,0,251
761,552,2022-04-01,2,252
750,553,2022-05-14,3,253
756,554,2022-05-19,3,254
760,555,2022-03-13,3,255
750,556,2022-05-09,1,256
756,557,2022-04-09,1,257
770,558,2022-03-01,2,258
772,559,2022-05-26,1,259
767,560,2022-03-18,3,260
761,561,2022-05-09,3,261
777,562,2022-05-15,0,262
761,563,2022-03-28,3,263
774,564,2022-03-25,2,264
773,565,2022-05-15,3,265
752,566,2022-04-26,0,266
779,567,2022-03-20,1,267
766,568,2022-04-24,1,268
773,569,2022-05-22,1,269
779,570,2022-05-02,2,270
753,571,2022-04-29,2,271
768,572,2022-05-17,1,272
768,573,2022-03-28,1,273
762,574,2022-04-25,3,274
761,575,2022-04-25,0,275
751,576,2022-04-15,3,276
752,577,2022-03-11,3,277
773,578,2022-05-10,3,278
757,579,2022-05-17,3,279
770,580,2022-05-28,3,280
754,581,2022-05-09,0,281
759,582,2022-05-26,3,282
769,583,2022-05-09,0,283
754,584,2022-05-16,2,284
751,585,2022-04-27,0,285
768,586,2022-05-02,3,286
769,587,2022-05-25,0,287
759,588,2022-03-15,1,288
753,589,2022-03-08,1,289
777,590,2022-03-26,0,290
762,591,2022-03-13,3,291
775,592,2022-05-19,0,292
753,593,2022-04-01,2,293
752,594,2022-05-27,1,294
756,595,2022-04-30,3,295
777,596,2022-04-28,1,296
762,597,2022-04-21,0,297
774,598,2022-05-06,3,298
777,599,2022-04-01,0,299
750,600,2022-05-19,1,300
773,601,2022-05-02,3,301
764,602,2022-03-21,3,302
754,603,2022-03-01,1,303
778,604,2022-03-19,0,304
765,605,2022-05-18,3,305
757,606,2022-05-10,2,306
761,607,2022-03-30,3,307
777,608,2022-04-03,1,308
774,609,2022-05-29,0,309
773,610,2022-05-10,3,310
761,611,2022-05-22,3,311
762,612,2022-04-10,1,312
772,613,2022-04-25,1,313
750,614,2022-04-28,0,314
756,615,2022-04-29,3,315
756,616,2022-03-26,1,316
757,617,2022-05-01,3,317
777,618,2022-05-16,0,318
778,619,2022-05-07,2,319
772,620,2022-05-09,2,320
774,621,2022-05-02,3,321
778,622,2022-04-13,0,322
756,623,2022-04-29,0,323
769,624,2022-03-26,0,324
772,625,2022-03-30,3,325
766,626,2022-04-25,2,326
759,627,2022-05-10,1,327
759,628,2022-04-05,3,328
776,629,2022-03-08,2,329
764,630,2022-03-02,1,330
751,631,2022-04-15,3,331
769,632,2022-04-22,2,332
768,633,2022-05-20,2,333
777,634,2022-03-03,2,334
773,635,2022-04-22,2,335
774,636,2022-04-25,1,336
760,637,2022-03-11,2,337
776,638,2022-04-16,2,338
764,639,2022-04-01,2,339
766,640,2022-03-08,3,340
757,641,2022-03-22,0,341
767,642,2022-05-19,0,342
760,643,2022-03-29,1,343
773,644,2022-05-02,0,344
771,645,2022-05-09,3,345
755,646,2022-05-19,0,346
750,647,2022-04-18,0,347
750,648,2022-05-08,1,348
750,649,2022-04-26,3,349
764,650,2022-04-28,3,350
752,651,2022-05-22,3,351
756,652,2022-05-15,1,352
779,653,2022-04-15,1,353
750,654,2022-03-27,2,354
753,655,2022-05-12,0,355
771,656,2022-03-17,1,356
754,657,2022-05-23,1,357
765,658,2022-03-31,1,358
769,659,2022-04-14,2,359
759,660,2022-03-29,2,360
761,661,2022-03-19,1,361
758,662,2022-05-17,0,362
755,663,2022-03-12,3,363
758,664,2022-04-17,0,364
759,665,2022-05-01,2,365
759,666,2022-04-13,0,366
760,667,2022-03-30,0,367
754,668,2022-05-03,1,368
768,669,2022-03-15,1,369
757,670,2022-04-10,3,370
761,671,2022-05-14,0,371
778,672,2022-04-19,0,372
750,673,2022-03-30,2,373
774,674,2022-03-04,0,374
762,675,2022-03-28,3,375
754,676,2022-03-18,3,376
760,677,2022-05-12,0,377
762,678,2022-03-08,0,378
764,679,2022-05-06,1,379
765,680,2022-04-14,3,380
779,681,2022-04-29,3,381
777,682,2022-04-03,2,382
