InvoiceNumber,Date,Product_ID,Qty
333461,2022-06-01,1110,5
333462,2022-06-01,1241,3
333463,2022-06-01,1110,3
333464,2022-06-01,1343,2
333465,2022-06-01,1843,3
333466,2022-06-01,1493,1
333467,2022-06-01,1837,2
333468,2022-06-01,1493,3
333469,2022-06-01,1843,1
333470,2022-06-01,1241,1
333471,2022-06-01,1843,1
333472,2022-06-01,1110,2
333473,2022-06-01,1837,4
333474,2022-06-01,1241,5
333475,2022-06-02,1241,3
333476,2022-06-02,1343,5
333477,2022-06-02,1837,4
333478,2022-06-02,1843,5
333479,2022-06-02,1806,2
333480,2022-06-02,1343,3
333481,2022-06-02,1110,1
333482,2022-06-02,1110,4
333483,2022-06-02,1493,4
333484,2022-06-02,1843,2
333485,2022-06-02,1493,1
333486,2022-06-02,1343,1
333487,2022-06-02,1493,4
333488,2022-06-02,1241,1
333489,2022-06-03,1837,1
333490,2022-06-03,1343,2
333491,2022-06-03,1241,3
333492,2022-06-03,1343,3
333493,2022-06-03,1241,1
333494,2022-06-03,1241,2
333495,2022-06-03,1343,2
333496,2022-06-03,1493,2
333497,2022-06-03,1110,4
333498,2022-06-03,1493,5
333499,2022-06-03,1241,5
333500,2022-06-03,1843,3
333501,2022-06-03,1110,1
333502,2022-06-03,1843,4
333503,2022-06-04,1837,4
333504,2022-06-04,1806,5
333505,2022-06-04,1837,1
333506,2022-06-04,1241,3
333507,2022-06-04,1806,5
333508,2022-06-04,1343,1
333509,2022-06-04,1806,2
333510,2022-06-04,1241,4
333511,2022-06-04,1110,2
333512,2022-06-04,1241,1
333513,2022-06-04,1110,5
333514,2022-06-04,1110,4
333515,2022-06-04,1843,3
333516,2022-06-04,1843,2
333517,2022-06-05,1806,1
333518,2022-06-05,1843,2
333519,2022-06-05,1343,1
333520,2022-06-05,1806,1
333521,2022-06-05,1837,5
333522,2022-06-05,1837,1
333523,2022-06-05,1343,1
333524,2022-06-05,1837,2
333525,2022-06-05,1110,2
333526,2022-06-05,1493,3
333527,2022-06-05,1110,3
333528,2022-06-05,1343,3
333529,2022-06-05,1110,3
333530,2022-06-05,1343,2
