Product_ID,Product Description,Price,Start,End
1343,Snorfulator 3000,178,2022-06-01,2099-12-31
1241,Fancy Dinner Fork,293,2022-06-01,2099-12-31
1843,Acme Blender,363,2022-06-01,2099-12-31
1806,Wooden Bowl,203,2022-06-01,2022-07-02
1837,Toaster Oven,341,2022-06-01,2022-07-02
1493,Juice-o-matic,188,2022-06-01,2022-07-02
1110,Bar Fridge,215,2022-06-01,2022-07-02
1806,Wooden Bowl,203,2022-07-03,2099-12-31
1837,Toaster Oven,341,2022-07-03,2099-12-31
1493,Juice-o-matic,188,2022-07-03,2099-12-31
1110,Bar Fridge,215,2022-07-03,2099-12-31
